rank,title,director,release_date,movie_type,format_type,nation,screens_total,sales_total_krw,audience_total,sales_seoul_krw,audience_seoul,genre,rating,film_class,seoul_ratio,release_year,nation_enc,rating_enc,genre_enc
803,Joseon Magician,Denis Villeneuve,2017-02-02,Theatrical Release,Feature,US,605,5174020721,629322,2112362621.0,249789,Other,12+,Commercial,0.3969176351692774,2017,63,0,4
804,Detective Conan: Shipwreck in the Sky,Kim Dae Seung,2015-12-30,Theatrical Release,Feature,KR,608,4650016527,628576,1107370838.0,144953,Romance,12+,Commercial,0.230605368324594,2015,36,0,5
805,Sully: Miracle on the Hudson,Yasuichiro Yamamoto,2010-07-21,Theatrical Release,Feature,JP,234,4065925171,628423,805351500.0,118938,Animation,All Ages,Commercial,0.18926423762338426,2010,35,3,2
806,Beasts that want to grab even a straw,Clint Eastwood,2016-09-28,Theatrical Release,Feature,US,573,5234170754,627102,1679863954.0,192870,Romance,12+,Commercial,0.30755762220500016,2016,63,0,5
807,Spiral,Kim Yong-hoon,2020-02-19,Theatrical Release,Feature,KR,996,5442138750,626815,1631018560.0,185951,Action,18+,Commercial,0.29666009907229407,2020,36,2,0
808,slow west,Juan Antonio Bayona,2013-01-17,Theatrical Release,Feature,ES,408,4444581500,622572,1193576000.0,161126,Action,12+,Commercial,0.2588070134859904,2013,19,0,0
809,Wonderland,Berry Cook,2011-11-25,Theatrical Release,Feature,US,356,4779642000,622286,1276658000.0,153783,Animation,All Ages,Commercial,0.2471259195932417,2011,63,3,2
810,Twisters,Kim Tae-yong,2024-06-05,Theatrical Release,Feature,KR,1165,5873441710,620992,1630496539.0,164185,Romance,12+,Commercial,0.2643914897454396,2024,36,0,5
811,The Snow Queen 2: The Troll's Magic Mirror,Jeong Isaac,2024-08-14,Theatrical Release,Feature,US,874,6433826349,620230,2122230089.0,195339,Action,12+,Commercial,0.31494606839398287,2024,63,0,0
812,In time,Alexey Tsichilin,2014-12-24,Theatrical Release,Feature,RU,479,4482452600,618598,858046900.0,113356,Animation,All Ages,Art film,0.1832466318998768,2014,55,3,2
813,Scoop: Liang Chen Murder Story,Andrew Nichol,2011-10-27,Theatrical Release,Feature,US,304,4579554500,616943,1724354000.0,220645,Other,12+,Commercial,0.3576424402254341,2011,63,0,4
814,Jack Reacher: Never Go Back,Nodok,2015-10-22,Theatrical Release,Feature,KR,776,4754763118,616481,1319649718.0,165767,Action,15+,Commercial,0.26889230973866185,2015,36,1,0
815,Joker: Polly A Doe,Edward Zwick,2016-11-30,Theatrical Release,Feature,US,667,4647326258,612328,1384339358.0,176367,Action,15+,Commercial,0.2880270051345031,2016,63,1,0
816,Miss GO,Todd Phillips,2024-10-01,Theatrical Release,Feature,US,1385,6374984320,612207,2316960850.0,209467,Other,15+,Commercial,0.3421506124562444,2024,63,1,4
817,Western Front,Park Cheol-gwan,2012-06-21,Theatrical Release,Feature,KR,440,4441859000,611685,1194708500.0,155409,Action,15+,Commercial,0.25406704431202337,2012,36,1,0
818,Apgujeong,Cheon Seong-il,2015-09-24,Theatrical Release,Feature,KR,509,4751661400,609063,1045890400.0,128610,Other,12+,Commercial,0.21116042182828376,2015,36,0,4
819,Green Zone,Im Jin-sun,2022-11-30,Theatrical Release,Feature,KR,1229,5727172661,608639,1223429718.0,127818,Comedy,12+,Commercial,0.2100062598683292,2022,36,0,3
820,Amazon vital water,Paul Greengrass,2010-03-25,Theatrical Release,Feature,US,280,4534073117,606841,1764722500.0,224900,Romance,15+,Commercial,0.3706077868832198,2010,63,1,5
821,The Hunger Games: Flames of Panem,Kim Chang-ju,2024-10-30,Theatrical Release,Feature,KR,1479,5390831280,606612,1178671940.0,128077,Comedy,12+,Commercial,0.2111349594139252,2024,36,0,3
822,Romance without love,Gary Ross,2012-04-05,Theatrical Release,Feature,US,514,4470681000,606531,1781865500.0,231022,Action,15+,Commercial,0.38089067170515606,2012,63,1,0
823,The villain on the second floor,Jeong Ga-young,2021-11-24,Theatrical Release,Feature,KR,967,6148017790,606273,1845712890.0,181524,Romance,15+,Commercial,0.2994096718804895,2021,36,1,5
824,Pieta,Son Jae-gon,2010-11-24,Theatrical Release,Feature,KR,384,4332815318,605224,1469062000.0,193993,Comedy,15+,Commercial,0.3205309108693641,2010,36,1,3
825,Mr. Joo: The Missing VIP,Kim Ki-duk,2012-09-06,Theatrical Release,Feature,KR,291,4354008500,602967,1733182500.0,231026,Romance,18+,Art film,0.3831486631938398,2012,36,2,5
826,Dinosaur Adventure 3D,Kim Tae-yoon,2020-01-22,Theatrical Release,Feature,KR,692,5057108660,601675,985780260.0,115640,Comedy,12+,Commercial,0.19219678397806125,2020,36,0,3
827,Welcome killer,"Barry Cook, Neil Nightingale",2013-12-19,Theatrical Release,Feature,US,464,4860516500,599963,1098977000.0,128585,Action,All Ages,Commercial,0.2143215498289061,2013,63,3,0
828,Crying Man,Kim Dong Wook,2010-04-08,Theatrical Release,Feature,KR,261,4347073175,599176,1236642000.0,163606,Comedy,15+,Commercial,0.2730516576097841,2010,36,1,3
829,Colombiana,Lee Jeong-beom,2014-06-04,Theatrical Release,Feature,KR,508,4883740800,599050,1416378800.0,167680,Action,18+,Commercial,0.2799098572740172,2014,36,2,0
830,Tarzan 3D,Olivier Megaton,2011-08-31,Theatrical Release,Feature,US,397,4514940000,598373,1515451500.0,192192,Action,15+,Commercial,0.321190962827534,2011,63,1,0
831,Letters to Juliet,Reinhard Clues,2014-01-09,Theatrical Release,Feature,DE,527,4452845000,597142,974501500.0,124008,Animation,All Ages,Commercial,0.20766919761128844,2014,15,3,2
832,For the Emperor,Gary Winick,2010-10-06,Theatrical Release,Feature,US,284,4343347481,593630,1949740500.0,254400,Romance,12+,Commercial,0.4285497700587908,2010,63,0,5
833,Man on Ledge,Park Sang-jun,2014-06-11,Theatrical Release,Feature,KR,423,4751881771,592041,970871571.0,115829,Action,18+,Commercial,0.19564354495719047,2014,36,2,0
834,Fashion King,Asger Les,2012-02-22,Theatrical Release,Feature,US,408,4393531500,591841,1529425000.0,196445,Other,15+,Commercial,0.33192191821789974,2012,63,1,4
835,It: The Second Story,Oh Gi-hwan,2014-11-06,Theatrical Release,Feature,KR,523,4338223379,591125,991436179.0,128375,Comedy,15+,Commercial,0.2171706491858744,2014,36,1,3
836,47 meters,Andres Muschietti,2019-09-04,Theatrical Release,Feature,US,999,5107465367,591043,1404236307.0,157197,Action,15+,Commercial,0.2659654204516423,2019,63,1,0
837,Hello Carbot the Movie: Save the Moon!,Johannes Roberts,2017-07-19,Theatrical Release,Feature,GB,733,4686022657,590036,1043910157.0,125764,Action,15+,Commercial,0.21314631649594262,2017,22,1,0
838,Barbie,"Latest Kyu Choi, Jincheol Kim",2019-09-04,Theatrical Release,Feature,KR,889,4553434150,587818,687159820.0,84670,Animation,All Ages,Commercial,0.14404118281508901,2019,36,3,2
839,The Wolf of Wall Street,Greta Gerwig,2023-07-19,Theatrical Release,Feature,US,780,5752206126,585502,2781106021.0,274979,Other,12+,Commercial,0.4696465597043221,2023,63,0,4
840,Quiz King,Martin Scorsese,2014-01-09,Theatrical Release,Feature,US,395,4490682000,585082,2130174000.0,271592,Other,18+,Commercial,0.4641947624435549,2014,63,2,4
841,The Sorcerer's Apprentice,Jang Jin,2010-09-16,Theatrical Release,Feature,KR,323,4258992759,583183,1249453000.0,164631,Comedy,15+,Commercial,0.28229732348165154,2010,36,1,3
842,dark shadow,John Turteltaub,2010-07-21,Theatrical Release,Feature,US,298,4132049517,582698,1213116000.0,163071,Romance,All Ages,Commercial,0.27985508788429,2010,63,3,5
843,Pokémon the Movie DP: Giratina and the Sky Bouquet Shaymin,Tim Button,2012-05-10,Theatrical Release,Feature,US,394,4326459000,582126,1488456500.0,189955,Romance,15+,Commercial,0.3263125165342211,2012,63,1,5
844,The Little Prince,Kunihiko Yuyama,2022-06-01,Theatrical Release,Feature,JP,809,5477045710,581216,815001560.0,83282,Animation,All Ages,Commercial,0.14328924186533062,2022,35,3,2
845,Insidious: The Second Home,Mark Osborne,2015-12-23,Theatrical Release,Feature,FR,494,4336252627,579130,1389264338.0,177032,Animation,All Ages,Art film,0.3056861153799665,2015,21,3,2
846,Snow White,James Wan,2013-12-05,Theatrical Release,Feature,US,405,4001207000,577758,1051192000.0,143845,Other,15+,Commercial,0.2489710224696153,2013,63,1,4
847,Hello Carbot the Movie: The Secret of Omphalos Island,Tarsem singh,2012-05-03,Theatrical Release,Feature,US,386,4038223000,576150,1287829500.0,174825,Other,All Ages,Commercial,0.303436605050768,2012,63,3,4
848,The Invisible Man,"Latest Kyu Choi, Jincheol Kim",2019-01-31,Theatrical Release,Feature,KR,752,4485905140,575353,724293890.0,88888,Animation,All Ages,Commercial,0.1544929808308986,2019,36,3,2
849,Chappie,Lee Wannell,2020-02-26,Theatrical Release,Feature,US,776,5015895060,575043,1551577840.0,173110,Other,15+,Commercial,0.30103835713155364,2020,63,1,4
850,Shadowhunters: City of Bones,Neill Blomkamp,2015-03-12,Theatrical Release,Feature,US,536,4620348654,573657,1430685654.0,167768,Action,15+,Commercial,0.29245350444603657,2015,63,1,0
851,Looper,Harold Zwart,2013-09-12,Theatrical Release,Feature,US,374,4034176500,571074,1158559000.0,156564,Other,15+,Commercial,0.2741571144895408,2013,63,1,4
852,Alvin and the Chipmunks 3,Ryan Johnson,2012-10-11,Theatrical Release,Feature,US,386,4252182000,570010,1805984000.0,232553,Other,18+,Commercial,0.4079805617445308,2012,63,2,4
853,White House Down,Mike Mitchell,2011-12-15,Theatrical Release,Feature,US,327,3763147000,569773,833551500.0,120514,Animation,All Ages,Commercial,0.21151230402283014,2011,63,3,2
854,monster,Roland Emmerich,2013-06-27,Theatrical Release,Feature,US,480,4015707500,569500,1348600000.0,184731,Action,15+,Commercial,0.32437401229148377,2013,63,1,0
855,Escape Room,Hirokazu Koreeda,2023-11-29,Theatrical Release,Feature,JP,647,5598778787,567736,2898160084.0,287847,Romance,12+,Art film,0.5070085391801823,2023,35,0,5
856,Papa,Adam Robitel,2019-03-14,Theatrical Release,Feature,US,850,5007420664,563114,1360092834.0,149452,Action,15+,Commercial,0.2654027426062929,2019,63,1,0
857,Step Up: All In,Han Ji Seung,2012-02-01,Theatrical Release,Feature,KR,414,3866065500,562156,1001172500.0,140728,Animation,12+,Commercial,0.25033620560840764,2012,36,0,2
858,Monster Bride: The 101st Proposal,Trish City,2014-09-03,Theatrical Release,Feature,US,325,4313097134,560620,1112615734.0,138461,Romance,12+,Commercial,0.2469783454033035,2014,63,0,5
859,my love,John Carney,2016-05-19,Theatrical Release,Feature,IE,494,4488377672,560578,1924616772.0,236329,Romance,15+,Art film,0.4215809396729804,2016,28,1,5
860,Resident Evil 5: The Final Judgement,Coralie Parja,2024-12-11,Theatrical Release,Feature,GB,372,5466714540,560530,2766903540.0,279644,Action,18+,Art film,0.498892119957897,2024,22,2,0
861,Insidious 4: The Last Key,Paul W.S. Anderson,2012-09-13,Theatrical Release,Feature,US,368,4757460500,558433,1494514500.0,164990,Action,18+,Commercial,0.29545173727197355,2012,63,2,0
862,Quantum Physics,Adam Robitel,2018-01-31,Theatrical Release,Feature,US,769,4301309864,554521,985318264.0,123478,Other,15+,Commercial,0.22267506550698712,2018,63,1,4
863,Ice Age: Collision,Lee Seong-tae,2019-09-25,Theatrical Release,Feature,KR,799,4526478380,553879,1152440160.0,137943,Other,15+,Commercial,0.24904898001187986,2019,36,1,4
864,The Grinch,Mike Tmeyer,2016-07-20,Theatrical Release,Feature,US,580,4092484600,553760,920145300.0,116487,Animation,All Ages,Commercial,0.210356472117885,2016,63,3,2
865,A Quiet Place: Day One,Scott Mosier,2018-12-19,Theatrical Release,Feature,US,724,4188466900,552962,978246100.0,122641,Animation,All Ages,Commercial,0.2217892007045692,2018,63,3,2
866,Mechanic: Recruit,Michael Sanoski,2024-06-26,Theatrical Release,Feature,US,942,5381760525,552619,1591925526.0,155608,Action,15+,Commercial,0.2815827903130366,2024,63,1,0
867,Yo-Kai Watch the Movie: The Secret of Birth!,Dennis Ganzel,2016-08-31,Theatrical Release,Feature,US,320,4458200800,551897,1177943300.0,142121,Action,15+,Commercial,0.25751363026071894,2016,63,1,0
868,Dinosaurs of the Spotted Peninsula 2: New Paradise,"Shigeharu Takahashi, Shinji Ushiro",2015-07-22,Theatrical Release,Feature,JP,509,3886775100,550728,601746400.0,82667,Animation,All Ages,Commercial,0.1501049519908194,2015,35,3,2
869,Bad Boys: Forever,Han Sang-ho,2018-12-25,Theatrical Release,Feature,KR,672,4293073300,550059,692247500.0,85793,Animation,All Ages,Commercial,0.15597054134192878,2018,36,3,2
870,Wonder Woman 1984,"Adil El Arbi, Bilal Fallah",2020-01-15,Theatrical Release,Feature,US,896,4880576760,547775,1431204050.0,155245,Action,18+,Commercial,0.28341015928072655,2020,63,2,0
871,You are a pet,Patty Jenkins,2020-12-23,Theatrical Release,Feature,US,2260,4938591400,546897,1459053100.0,154808,Action,12+,Commercial,0.28306609836952845,2020,63,0,0
872,"That day, the sea",Kim Byeong-gon,2011-11-10,Theatrical Release,Feature,KR,341,3798398000,540972,1097757500.0,148666,Romance,12+,Commercial,0.27481274446736614,2011,36,0,5
873,Tomb Raider,Kim Ji-young,2018-04-12,Theatrical Release,Feature,KR,611,4445554528,540558,1157399300.0,136574,Other,15+,Art film,0.25265373928422113,2018,36,1,4
874,After Earth,Loa Utau,2018-03-08,Theatrical Release,Feature,US,806,4500905762,540410,1147492762.0,131406,Action,12+,Commercial,0.243159823097278,2018,63,0,0
875,International investigation,M. Night Shyamalan,2013-05-30,Theatrical Release,Feature,US,484,3831856167,537920,1266901167.0,168880,Other,12+,Commercial,0.3139500297441999,2013,63,0,4
876,"Demon Slayer: The Gathering of the Upper Worlds, and the Potter Village",Kim Bong-han,2020-09-29,Theatrical Release,Feature,KR,1074,4496549760,537470,868003360.0,103185,Comedy,15+,Commercial,0.19198280834279122,2020,36,1,3
877,Mary and the Witch's Flower,Haruo Sotozaki,2023-03-02,Theatrical Release,Feature,JP,410,6586552900,535969,1625475500.0,122782,Animation,15+,Commercial,0.22908414479195624,2023,35,1,2
878,Ferdinand,Hiromasa Yonebayashi,2017-12-07,Theatrical Release,Feature,JP,751,4064258739,535354,1100455439.0,137880,Animation,All Ages,Commercial,0.25754921042898715,2017,35,3,2
879,Psychometry,Carlos Saldanha,2018-01-03,Theatrical Release,Feature,US,698,3854216500,533776,667415700.0,88198,Animation,All Ages,Commercial,0.16523410569227542,2018,63,3,2
880,intruder,Kwon Ho-young,2013-03-07,Theatrical Release,Feature,KR,429,3964769129,531953,1133052129.0,145312,Other,18+,Commercial,0.2731669903168137,2013,36,2,4
881,The Mathematician in Wonderland,Son Won-pyeong,2020-06-04,Theatrical Release,Feature,KR,1365,4806314000,531212,1029368660.0,110923,Other,15+,Commercial,0.20881117143438024,2020,36,1,4
882,Burning,Park Dong-hoon,2022-03-09,Theatrical Release,Feature,KR,1357,4996234520,528900,1352417450.0,142199,Romance,12+,Commercial,0.268858007184723,2022,36,0,5
883,Champ,Lee Chang-dong,2018-05-17,Theatrical Release,Feature,KR,739,4714345098,528153,1765445398.0,194098,Other,18+,Commercial,0.3675033560350883,2018,36,2,4
884,7 years of night,This environment,2011-09-07,Theatrical Release,Feature,KR,288,3805721000,528149,962576500.0,126060,Romance,12+,Commercial,0.2386826444810082,2011,36,0,5
885,Megalodon,Chu Changmin,2018-03-28,Theatrical Release,Feature,KR,872,3969337524,528007,1046793224.0,133744,Action,15+,Commercial,0.25329967216343724,2018,36,1,0
886,Love & Drugs,John Turteltaub,2018-08-15,Theatrical Release,Feature,US,601,4510731497,527331,996870197.0,111268,Action,12+,Commercial,0.2110021978605468,2018,63,0,0
887,Monster,Edward Zwick,2011-01-13,Theatrical Release,Feature,US,284,4125733000,527077,2020856000.0,250187,Romance,18+,Commercial,0.4746687865340358,2011,63,2,5
888,A Quiet Place,Hwang In-ho,2014-03-13,Theatrical Release,Feature,KR,527,4136202515,526282,1110307115.0,135839,Action,18+,Commercial,0.2581106707050593,2014,36,2,0
889,3 days vacation,John Krasinski,2018-04-12,Theatrical Release,Feature,US,677,4580889849,526073,1445057049.0,161329,Other,15+,Commercial,0.3066665652865667,2018,63,1,4
890,designer,Yook Sung-Hyo,2023-12-06,Theatrical Release,Feature,KR,863,4921168917,525427,1087727701.0,114759,Other,12+,Commercial,0.2184109305384002,2023,36,0,4
891,Detective Conan: The 11th Striker,Lee Yo-seop,2024-05-29,Theatrical Release,Feature,KR,1345,4728639867,525369,1268452150.0,133440,Other,15+,Commercial,0.2539929078419168,2024,36,1,4
892,Unknown,"Shizuno Kobun, Yamamoto Yasuichiro",2012-07-19,Theatrical Release,Feature,JP,350,3363777000,524914,657372500.0,97846,Animation,12+,Commercial,0.18640386806219686,2012,35,0,2
893,Helmet,Jaume Collet Serra,2011-02-17,Theatrical Release,Feature,US,186,3953681000,522794,1547034000.0,195647,Romance,15+,Commercial,0.37423344567841255,2011,63,1,5
894,Alvin and the Chipmunks 2,Shinhansol,2015-03-05,Theatrical Release,Feature,KR,422,4096141972,519983,799976772.0,98593,Comedy,18+,Commercial,0.18960812180398207,2015,36,2,3
896,Allied,Soar Freudental,2013-09-12,Theatrical Release,Feature,US,409,3791349609,519584,1005494109.0,127666,Other,12+,Commercial,0.24570810494549486,2013,63,0,4
897,The Nutcracker and the Four Realms,Robert Zemeckis,2017-01-11,Theatrical Release,Feature,US,546,4278041179,518886,1600695179.0,190720,Action,15+,Commercial,0.36755665020833095,2017,63,1,0
898,Genre Romance only,"Lasse Hallstrom, Joe Johnston",2018-12-06,Theatrical Release,Feature,US,294,4153747200,518272,1221527400.0,146274,Other,All Ages,Commercial,0.2822340392689553,2018,63,3,4
899,Social Network,Jo Eun-ji,2021-11-17,Theatrical Release,Feature,KR,1194,5191579940,518269,1312337430.0,130682,Romance,15+,Commercial,0.2521509100486427,2021,36,1,5
900,Ghostbusters,David Fincher,2010-11-18,Theatrical Release,Feature,US,302,3803054495,517286,1960937000.0,251559,Romance,15+,Commercial,0.4863054480500149,2010,63,1,5
901,Piranha,Paul Feig,2016-08-25,Theatrical Release,Feature,US,511,4116292075,515522,1376002875.0,165403,Action,12+,Commercial,0.32084566711023,2016,63,0,0
902,The First Avenger,Alexander Aya,2010-08-26,Theatrical Release,Feature,US,306,5756700191,515074,1906860000.0,162969,Action,18+,Commercial,0.31639919700858515,2010,63,2,0
903,Ad Astra,Joe Johnston,2011-07-28,Theatrical Release,Feature,US,363,4163130500,514417,1590831500.0,184678,Action,12+,Commercial,0.35900446524901003,2011,63,0,0
904,Alice in Wonderland,James Gray,2019-09-19,Theatrical Release,Feature,US,853,4518393460,513375,1618159190.0,177587,Other,12+,Commercial,0.34592062332602874,2019,63,0,4
905,Valerian and the City of a Thousand Planets,James Bobin,2016-09-07,Theatrical Release,Feature,US,515,4145733267,513202,1251835067.0,146759,Other,12+,Commercial,0.28596731891146177,2016,63,0,4
906,Friends: The Secret of Monster Island,Luc Besson,2017-08-30,Theatrical Release,Feature,FR,629,4047756408,511931,1318056208.0,157111,Action,12+,Commercial,0.30689878128107106,2017,21,0,0
907,Hidden time,Takashi Yamazaki,2011-12-29,Theatrical Release,Feature,JP,297,3745986000,510996,815015000.0,100905,Animation,All Ages,Commercial,0.19746729915694056,2011,35,3,2
908,Godzilla X Kong: A New Empire,Taehwa Eom,2016-11-16,Theatrical Release,Feature,KR,884,3946462400,510878,1183297400.0,144193,Romance,12+,Commercial,0.2822454676067476,2016,36,0,5
909,"Eat, Pray, Love",Adam Wingard,2024-03-27,Theatrical Release,Feature,US,995,5110301281,510292,1137796372.0,104617,Action,12+,Commercial,0.20501399198890047,2024,63,0,0
910,Pokémon the Movie: I Choose You!,Ryan Murphy,2010-09-30,Theatrical Release,Feature,US,280,3738208724,509623,1794986000.0,234267,Romance,15+,Commercial,0.45968686656606944,2010,63,1,5
911,Victory,Kunihiko Yuyama,2017-12-21,Theatrical Release,Feature,JP,626,3814315500,509555,726301600.0,94013,Animation,All Ages,Commercial,0.18450020115591054,2017,35,3,2
912,Detective Conan: The Darkest Nightmare,Park Beom-su,2024-08-14,Theatrical Release,Feature,KR,789,4544420767,508220,1274704857.0,139446,Romance,12+,Commercial,0.2743811735075361,2024,36,0,5
913,Star Wars: The Rise of Skywalker,Shizuno Kobun,2016-08-03,Theatrical Release,Feature,JP,447,3754104500,507508,717455600.0,93719,Animation,12+,Commercial,0.18466506931910434,2016,35,0,2
914,Men's Manual,J.J. Abrams,2020-01-08,Theatrical Release,Feature,US,957,4704790210,507265,1697379020.0,168273,Action,12+,Commercial,0.3317260209160892,2020,63,0,0
915,The Shape of Water: The Shape of Love,Lee Won-seok,2013-02-14,Theatrical Release,Feature,KR,372,3602049257,507257,1016134757.0,136010,Comedy,15+,Commercial,0.26812838462554484,2013,36,1,3
916,Doraemon: Stand By Me,Guillermo del Toro,2018-02-22,Theatrical Release,Feature,US,404,4210511600,506261,2140571300.0,253866,Other,18+,Commercial,0.5014528079389879,2018,63,2,4
917,47 meters 2,"Takashi Yamazaki, Ryuichi Yagi",2015-02-12,Theatrical Release,Feature,JP,432,3681140429,503516,681756129.0,88689,Animation,All Ages,Commercial,0.1761393878248159,2015,35,3,2
918,Exorcism Record,Johannes Roberts,2019-08-28,Theatrical Release,Feature,US,649,3846315153,501934,1102624133.0,130922,Other,15+,Commercial,0.26083508987237364,2019,63,1,4
919,Great Wall,Kim Dong-cheol,2025-02-21,Theatrical Release,Feature,KR,841,4752357600,501382,1618043720.0,164607,Animation,12+,Art film,0.3283065606663183,2025,36,0,2
920,12 Years a Slave,Zhang Yimou,2017-02-15,Theatrical Release,Feature,US,598,4352841358,501286,1257212358.0,138597,Other,12+,Commercial,0.27648288601716386,2017,63,0,4
921,King of Abu,Steve McQueen,2014-02-27,Theatrical Release,Feature,US,326,3644201200,498004,1466423200.0,194506,Romance,15+,Commercial,0.39057116007100345,2014,63,1,5
922,"Demon Slayer: Miracle of Destiny, and Joint Strength Training",Jeong Seung-gu,2012-06-21,Theatrical Release,Feature,KR,428,3511102500,497880,972557500.0,131766,Comedy,15+,Commercial,0.26465413352615086,2012,36,1,3
923,Catch me,Haruo Sotozaki,2024-02-14,Theatrical Release,Feature,JP,393,5625264900,497320,1464649800.0,118816,Animation,15+,Commercial,0.2389125713826108,2024,35,1,2
924,Scary story 2,Lee Hyun-jong,2013-12-18,Theatrical Release,Feature,KR,517,3387483000,492773,956243500.0,131932,Comedy,12+,Commercial,0.26773382470224627,2013,36,0,3
925,Bad Boys and Girls,"Kim Sung-ho, Kim Hwi, Jeong Beom-sik, Min Kyu-dong",2013-06-05,Theatrical Release,Omnibus,KR,337,3375472500,492465,766405500.0,105175,Other,15+,Commercial,0.21356847694760034,2013,36,1,4
926,A star is born,Shin Geun-ho,2010-11-04,Theatrical Release,Feature,KR,345,3619026909,491207,925175000.0,119059,Comedy,15+,Commercial,0.2423805035351695,2010,36,1,3
927,Detective Conan: Halloween Bride,bradley cooper,2018-10-09,Theatrical Release,Feature,US,555,4257580060,490957,2035447500.0,228963,Romance,15+,Commercial,0.4663605977712916,2018,63,1,5
928,Happy to see Winnie the Pooh again,Mitsunaka Susumu,2022-07-13,Theatrical Release,Feature,JP,758,5119750724,490868,1292448496.0,117702,Animation,12+,Commercial,0.23978340409234256,2022,35,0,2
929,sympathy,Mark Foster,2018-10-03,Theatrical Release,Feature,US,536,4076578860,490307,1514773210.0,175858,Other,All Ages,Commercial,0.3586691603423977,2018,63,3,4
930,Red,Seo Eun-young,2022-11-16,Theatrical Release,Feature,KR,1013,4753528700,489898,1220704123.0,123537,Romance,12+,Commercial,0.25216881881534525,2022,36,0,5
931,Another promise,Robert Schwentke,2010-11-03,Theatrical Release,Feature,US,322,3607106025,489855,1236989000.0,159990,Action,15+,Commercial,0.326606853048351,2010,63,1,0
932,Cars 3: A New Challenge,Kim Tae-yoon,2014-02-06,Theatrical Release,Feature,KR,192,3470184400,489409,895346100.0,117256,Romance,12+,Commercial,0.2395869303588614,2014,36,0,5
933,silence,Brian P,2017-07-13,Theatrical Release,Feature,US,800,3599544501,487916,854573801.0,108150,Animation,All Ages,Commercial,0.22165700653391157,2017,63,3,2
934,More Moon,Jeong Ji-woo,2017-11-02,Theatrical Release,Feature,KR,634,3873542364,487897,1140873764.0,139002,Romance,15+,Commercial,0.2849002965789911,2017,36,1,5
935,Seaweed,Kim Yong-hwa,2023-08-02,Theatrical Release,Feature,KR,1187,4893985038,486060,1447945116.0,132243,Other,12+,Commercial,0.2720713492161462,2023,36,0,4
936,Annabelle's home,Park Heung-sik,2016-04-13,Theatrical Release,Feature,KR,572,3763852759,485083,1147859410.0,143843,Other,15+,Commercial,0.29653275831146425,2016,36,1,4
937,Gye-chun Halmang,Gary Dauberman,2019-06-26,Theatrical Release,Feature,US,653,3993147140,481766,888643920.0,102947,Other,15+,Commercial,0.21368672758143994,2019,63,1,4
938,Girl's Ghost Story,window,2016-05-19,Theatrical Release,Feature,KR,526,3589317348,480987,848101748.0,109124,Animation,15+,Commercial,0.2268751546299588,2016,36,1,2
939,The Three Beauties of Joseon,Oh Incheon,2014-07-02,Theatrical Release,Feature,KR,455,3546340054,480528,707926554.0,92017,Other,15+,Commercial,0.19149144274631238,2014,36,1,4
940,Mother-in-law,Park Jae-hyun,2014-01-29,Theatrical Release,Feature,KR,388,3471341321,480361,742552321.0,98335,Comedy,12+,Commercial,0.2047106238849532,2014,36,0,3
941,Nut Job: Peanut Thieves,Yoo Seong-yeop,2010-04-22,Theatrical Release,Feature,KR,276,3367901082,478822,956688000.0,129750,Romance,All Ages,Commercial,0.27097752400683345,2010,36,3,5
942,"robot, sound",Peter Lepeniotis,2014-01-29,Theatrical Release,Feature,KR,382,3280608100,478392,796865300.0,109813,Animation,All Ages,Commercial,0.22954606264318803,2014,36,3,2
943,Triple X Returns,Lee Ho-jae,2016-01-27,Theatrical Release,Feature,KR,609,3519595560,476665,951166060.0,126118,Romance,12+,Commercial,0.26458414190259405,2016,36,0,5
944,Mobius,D.J. Caruso,2017-02-08,Theatrical Release,Feature,US,590,3967335095,475309,1022502995.0,116855,Action,15+,Commercial,0.24585059403461748,2017,63,1,0
945,Biansan,Daniel Espinosa,2022-03-30,Theatrical Release,Feature,US,1696,4662620390,474560,1401807670.0,137560,Action,15+,Commercial,0.2898685097774781,2022,63,1,0
946,Dangerous meeting 2,Lee Jun-ik,2018-07-04,Theatrical Release,Feature,KR,763,3886052473,474137,1063654573.0,126389,Romance,15+,Commercial,0.26656641434859546,2018,36,1,5
947,Zambezia: The Secret of the Mysterious Tree Island,Kim Jin-young,2015-04-29,Theatrical Release,Feature,KR,429,3575384754,472693,738570754.0,93940,Romance,15+,Commercial,0.19873363895805524,2015,36,1,5
948,Super Eight,Wayne Thornley,2012-12-25,Theatrical Release,Feature,ZA,273,3333947000,472692,658609000.0,87536,Animation,All Ages,Commercial,0.1851861254262818,2012,68,3,2
949,Countdown,J.J. Abrams,2011-06-16,Theatrical Release,Feature,US,411,3622835500,472118,1389410500.0,172316,Other,12+,Commercial,0.3649850249302081,2011,63,0,4
950,Gourmet 2: Kimchi War,Heo Jong-ho,2011-09-29,Theatrical Release,Feature,KR,341,3630557000,471547,1289489000.0,159087,Romance,18+,Commercial,0.3373725206607189,2011,36,2,5
951,Detective Conan: The Flame of the Sunflower,"Baek Dong-hoon, Kim Gil-hyung",2010-01-28,Theatrical Release,Feature,KR,357,3298814209,471103,958627500.0,127932,Romance,All Ages,Commercial,0.27155844900159837,2010,36,3,5
952,Real,Shizuno Kobun,2015-08-05,Theatrical Release,Feature,JP,433,3294096400,470990,578757300.0,80798,Animation,All Ages,Commercial,0.17154928979383852,2015,35,3,2
