rank,title,director,release_date,movie_type,format_type,nation,screens_total,sales_total_krw,audience_total,sales_seoul_krw,audience_seoul,genre,rating,film_class
5262,Lust,Yoshiyuki Kishi,2024-05-29,Theatrical Release,Feature,JP,39,34677767,3696,21906467,2184,Drama,15+,Art film
5263,Happy D Day,Ken Marino,2020-07-01,Theatrical Release,Feature,US,153,30493800,3694,12078220,1441,Comedy,All Ages,Art film
5264,Incheon Stella,Baek Seung-gi,2021-03-25,Theatrical Release,Feature,KR,50,26516080,3692,16724910,2237,Sci-Fi,12+,Art film
5265,salvation,Lee Chang-moo,2021-04-08,Theatrical Release,Feature,KR,32,25388250,3689,14832500,2424,Thriller,18+,Art film
5266,Permission,Brian Craneau,2019-02-27,Theatrical Release,Feature,US,53,29192210,3685,18496910,2335,Comedy,18+,Art film
5267,Frida's That Summer,Carla Simone,2018-10-25,Theatrical Release,Feature,ES,37,28802800,3684,17392800,2103,Drama,All Ages,Art film
5268,Promise of Dawn,Eric Barbier,2018-11-22,Theatrical Release,Feature,FR,21,28474850,3682,19711850,2327,Drama,15+,Art film
5269,Destination Wedding,Victor Levin,2018-12-13,Theatrical Release,Feature,US,85,29269500,3679,15116000,1852,Comedy,15+,Art film
5270,equator,"Lung Lok Man, Sunny Luck",2015-05-28,Theatrical Release,Feature,HK,71,27026500,3679,13885500,1889,Action,15+,Commercial
5271,Last Summer,Catherine Breillat,2024-04-03,Theatrical Release,Feature,FR,37,30506500,3677,12678500,1468,Drama,18+,Art film
5272,Invaders: Revenge of the Robots,Patrick Ryan Sims,2014-05-15,Theatrical Release,Feature,US,20,24888000,3672,13875000,2101,Action,12+,Commercial
5273,The Hitman's Bodyguard 2: The Hitman's Wife,Patrick Hughes,2021-08-04,Theatrical Release,Feature,US,30,27538830,3671,13709850,1821,Action,15+,Commercial
5274,Sophie's World,"Now, this is",2022-03-03,Theatrical Release,Feature,KR,84,31288600,3663,18464400,2066,Drama,12+,Art film
5275,Apocalypse Now Final Cut,Francis Ford Coppola,2020-11-26,Theatrical Release,Feature,US,64,33943630,3663,20106200,2104,War,18+,Art film
5276,The Den,Zachary Donohue,2014-11-20,Theatrical Release,Feature,US,20,19989000,3656,4695000,674,Horror,18+,Commercial
5277,When was the last time you saw your father?,Anand Tucker,2010-05-27,Theatrical Release,Feature,IE,12,26589161,3656,16374700,2176,Drama,12+,Art film
5278,Galaxy Express 999 - The Movie,Lin Taro,2022-10-05,Theatrical Release,Feature,JP,56,37895568,3649,22214364,2091,Animation,12+,Art film
5279,To my thirties,Peng Su-hye,2017-11-23,Theatrical Release,Feature,HK,67,26418400,3646,16895900,2361,Drama,15+,Art film
5280,Hillbilly Song,Ron Howard,2020-11-11,Theatrical Release,Feature,US,84,30682780,3646,17845500,2071,Drama,18+,Art film
5281,"Special Actors Co., Ltd.",Shinichiro Ueda,2020-08-06,Theatrical Release,Feature,JP,43,31250440,3644,22111440,2408,Comedy,All Ages,Art film
5282,Bad Luck Banging,Radu Jude,2022-07-28,Theatrical Release,Feature,RO,27,36063000,3642,21756300,2091,Drama,18+,Art film
5283,Love and Art,Fred Schepisi,2017-11-09,Theatrical Release,Feature,US,36,27906300,3640,19669000,2514,Romance,15+,Art film
5284,Happy Happy Winery,Yukiko Mishima,2015-03-12,Theatrical Release,Feature,JP,23,26356300,3640,19253600,2522,Comedy,All Ages,Art film
5285,How a cup of coffee affects sex,Stacey Passion,2014-06-26,Theatrical Release,Feature,US,7,26166000,3639,15906000,1969,Drama,18+,Art film
5286,Under the Zelkova tree,Oh Jeong-hoon,2023-11-15,Theatrical Release,Feature,KR,13,31208450,3632,6051100,651,Documentary,All Ages,Art film
5287,Grandma's Crazy Bongo,Baek Seung-hwan,2021-01-21,Theatrical Release,Feature,KR,67,24358250,3632,10924450,1677,Comedy,12+,Commercial
5288,Mac Korea,Kim Hyung-ryeol,2012-10-18,Theatrical Release,Feature,KR,16,25154000,3631,17125000,2314,Documentary,15+,Art film
5289,Rabbit School 2: Easter Mayhem,Ute von Münschopol,2024-03-27,Theatrical Release,Feature,DE,126,29722990,3628,7667790,956,Animation,All Ages,Art film
5290,Taeyong: T.Y Track in Cinema,Oh Yoon-dong,2024-09-25,Theatrical Release,Feature,KR,76,85741400,3628,47858400,2079,Performance,All Ages,Commercial
5291,Possession: Addicted Love,"Joel Bergvall, Simon Sandquist",2015-06-21,Theatrical Release,Feature,US,2,18125000,3625,18125000,3625,Mystery,15+,Commercial
5292,We have a Pope,Nanni Moretti,2013-05-02,Theatrical Release,Feature,IT,20,26114500,3624,18880500,2535,Drama,All Ages,Art film
5293,Only I Level Up : Preview,Unknown,2023-12-13,Theatrical Release,Feature,JP,62,46484600,3622,21016200,1523,Animation,18+,Commercial
5294,Long live love,"Yang Ik-Joon, Boo Ji-Young",2011-06-09,Theatrical Release,Omnibus,KR,13,27029400,3620,20150900,2512,Romance,15+,Art film
5295,Return to Seoul,davie chu,2023-05-03,Theatrical Release,Feature,FR,59,35746792,3616,27142335,2633,Drama,15+,Art film
5296,"2021 Swag Age: Shout Out, Joseon!","Woo Jin-ha, Kwak Ki-young",2021-05-13,Theatrical Release,Feature,KR,34,34736900,3615,22486600,2288,Musical,12+,Commercial
5297,Ramy's Super Special Time Travel,Wayming Huang,2019-02-27,Theatrical Release,Feature,CN,96,27150800,3610,8306000,1032,Animation,All Ages,Commercial
5298,Baeksan - From Uiryeong to Balhae,Jin Jae-woon,2025-02-05,Theatrical Release,Feature,KR,30,27578900,3601,4587300,773,Documentary,All Ages,Art film
5299,Finalist,Brett Vanhüneker,2019-01-24,Theatrical Release,Feature,BE,22,28031600,3599,20209800,2438,Documentary,All Ages,Art film
5300,Can you hear me?,"Kim Bong-han, Shin Seung-hwan",2020-06-10,Theatrical Release,Feature,KR,103,35911140,3598,15187480,1570,Documentary,All Ages,Art film
5301,Cicada 3301,Alan Richson,2021-07-01,Theatrical Release,Feature,US,26,23408600,3596,12978420,2020,Action,18+,Commercial
5302,Wing Chun martial arts master,Jang Dong-jo,2013-07-19,Theatrical Release,Feature,CN,5,12145000,3595,12145000,3595,Action,15+,Commercial
5303,"Gura, Beethoven",Beacon,2021-02-25,Theatrical Release,Feature,KR,11,21690100,3594,13782200,2258,Other,15+,Art film
5304,Song for father,Paolo Sorrentino,2012-05-03,Theatrical Release,Feature,IT,1,28773000,3594,27523000,3352,Crime,12+,Art film
5305,"Quo Vadis, Aida",Yasmila Zbanic,2021-05-19,Theatrical Release,Feature,Other,44,29793380,3592,19028180,2135,Drama,15+,Art film
5306,Ferris wheel,"Baek Jae-ho, Lee Hee-seop",2018-08-30,Theatrical Release,Feature,KR,36,29812250,3591,22999950,2616,Drama,12+,Art film
5307,Some one somewhere,Cedric Klapisch,2020-04-29,Theatrical Release,Feature,FR,37,29920640,3589,21501280,2469,Romance,12+,Art film
5308,Skin Trade,Ekachai Uekrongtam,2015-08-20,Theatrical Release,Feature,US,20,18621000,3588,8018000,1602,Action,18+,Commercial
5309,Dear My Love,Klaus Harlow,2023-07-12,Theatrical Release,Feature,Other,23,27754784,3584,15004834,1587,Romance,All Ages,Art film
5310,High altitude,Kim Mi-young,2023-09-27,Theatrical Release,Feature,KR,36,31844100,3583,23145861,2476,Drama,12+,Art film
5311,Perfect Stranger,Paolo Genovese,2019-10-24,Theatrical Release,Feature,IT,83,25369280,3583,13518720,1706,Comedy,15+,Art film
5312,4DX Moonyu,"Yoon Hyun-jung, Lee Ji-hye, Moon Kyo-ri",2022-10-12,Theatrical Release,Feature,KR,10,30929500,3581,16681000,1947,Other,12+,Commercial
5313,Beyond the Boundary: I'LL BE HERE -Past-,Taichi Ishidate,2015-10-22,Theatrical Release,Feature,JP,32,25700000,3579,12524000,1728,Animation,12+,Art film
5314,Mayhem,Joe Lynch,2021-04-08,Theatrical Release,Feature,US,37,20816400,3579,10644500,1840,Action,18+,Art film
5315,Poseidon,Mark L. Lester,2014-09-18,Theatrical Release,Feature,US,20,9524000,3576,5547000,2665,Sci-Fi,15+,Commercial
5316,Welcome Guesthouse,Deep,2020-08-13,Theatrical Release,Feature,KR,58,31441670,3573,21519000,2350,Drama,15+,Art film
5317,A Day in the Life of Oscar Grant,Ryan Coogler,2014-01-16,Theatrical Release,Feature,US,18,24970500,3573,19042000,2612,Drama,15+,Art film
5318,Red line,Takeshi Koike,2011-05-12,Theatrical Release,Feature,JP,29,28676000,3572,22144500,2709,Animation,15+,Commercial
5319,Father of Light: Final Fantasy XIV,"Teruo Noguchi, Kiyoshi Yamamoto",2021-01-14,Theatrical Release,Feature,JP,98,33411000,3569,14661600,1562,Drama,All Ages,Art film
5320,Hitman for hire,Kang Tae-ho,2022-11-03,Theatrical Release,Feature,KR,50,26650999,3568,11200799,1447,Crime,18+,Commercial
5321,Suncheon,Lee Hongki,2014-09-04,Theatrical Release,Feature,KR,5,22738200,3562,8774100,1156,Documentary,All Ages,Art film
5322,The land that continues,Jo Hee-young,2024-01-10,Theatrical Release,Feature,KR,30,29847700,3555,15201800,1748,Drama,12+,Art film
5323,Snow White,Anne Fontaine,2019-10-24,Theatrical Release,Feature,FR,77,28614880,3554,20226560,2376,Drama,18+,Art film
5324,The Secret,Yuval Adler,2021-01-21,Theatrical Release,Feature,GB,72,24078370,3551,10939310,1657,Thriller,15+,Art film
5325,The Seven Swords of Heaven and Earth Yang Family,Woo In Tae,2013-05-02,Theatrical Release,Feature,CN,5,24947500,3551,24947500,3551,Drama,15+,Commercial
5326,black boy,Seo Jeong-won,2024-02-07,Theatrical Release,Feature,KR,31,30344439,3547,16173539,1822,Drama,15+,Art film
5327,Cameron Post's Mistaken Education,Desiree Akhavan,2020-06-04,Theatrical Release,Feature,US,108,31208020,3541,18353580,2063,Drama,15+,Art film
5328,Suyeongmot,Yu Ji-young,2018-04-19,Theatrical Release,Feature,KR,36,26185400,3539,11992800,1384,Drama,15+,Art film
5329,Let's go! To the Rose Inn 2 - Thirst,Kim Bong-eun,2014-04-10,Theatrical Release,Feature,KR,20,14471000,3534,520000,104,Romance,18+,Commercial
5330,Stargazer: Astroscope,Doha,2022-10-27,Theatrical Release,Feature,KR,31,70676000,3534,34139000,1707,Performance,All Ages,Commercial
5331,Chef of Antarctica,Shuichi Okita,2010-02-11,Theatrical Release,Feature,JP,1,25129544,3530,23407000,3201,Comedy,All Ages,Art film
5332,The Captain,Robert Schwentke,2019-04-25,Theatrical Release,Feature,FR,22,26337050,3525,18888550,2402,War,15+,Art film
5333,"Raphael, the monarch of arts",Unknown,2024-05-29,Theatrical Release,Feature,IT,24,28009239,3525,14873839,1582,Documentary,All Ages,Art film
5334,Masha and the Bear: The Best of the Best,Unknown,2020-10-08,Theatrical Release,Feature,RU,158,28394500,3525,4364300,513,Animation,All Ages,Commercial
5335,The Pindus Story,Ali Samadi Ahadi,2017-11-30,Theatrical Release,Feature,DE,22,17345000,3524,0,0,Animation,All Ages,Art film
5336,Red Rooms,Pascal Plante,2024-10-09,Theatrical Release,Feature,CA,26,35010100,3523,26440200,2606,Thriller,15+,Art film
5337,"Cheer up, Byung-heon",Lee Byung-hun,2013-06-27,Theatrical Release,Feature,KR,18,25463600,3522,18462100,2471,Comedy,15+,Art film
5338,Becoming Astrid,Pernille Fischer Christensen,2021-05-12,Theatrical Release,Feature,Other,70,30674940,3520,15366180,1641,Drama,15+,Art film
5339,La Traviata,Hugo de Ana,2013-07-06,Theatrical Release,Feature,DE,2,92164500,3515,81167500,3112,Performance,All Ages,Art film
5340,Kitaro's Birth GeGeGe's Mystery: True Edition,Unknown,2024-10-19,Theatrical Release,Feature,JP,38,35277500,3506,17011200,1656,Animation,15+,Commercial
5341,Robot,S. Shankar,2012-04-19,Theatrical Release,Feature,IN,37,25705000,3504,13486000,1741,Sci-Fi,15+,Art film
5342,Opera-Carmen (Metropolitan),"Gary Halverson, Richard Ear",2010-04-04,Theatrical Release,Feature,US,1,68885531,3498,67515000,3425,Musical,12+,Commercial
5343,Camille Claudel,Bruno Dumont,2013-10-24,Theatrical Release,Feature,FR,6,25946000,3495,19537500,2451,Drama,15+,Art film
5344,Rams,Grimur Hakonarsson,2016-11-03,Theatrical Release,Feature,IS,23,25971300,3491,18074500,2263,Drama,15+,Art film
5345,Next Generation Patlabor,Mamoru Oshii,2014-04-24,Theatrical Release,Feature,JP,20,23674500,3488,10967500,1678,Action,12+,Commercial
5346,Junstone Earwon,Unknown,2025-03-06,Theatrical Release,Feature,KR,19,36158200,3484,18592800,1787,Documentary,12+,Art film
5347,What Happened in Rome,Mark Steven Johnson,2010-04-08,Theatrical Release,Feature,US,12,26864788,3480,19727000,2481,Romance,12+,Commercial
5348,Misfits,Renny Harlin,2021-06-03,Theatrical Release,Feature,US,21,21606540,3479,12129040,1960,Action,15+,Commercial
5349,your love song,Andrew Chen,2022-03-16,Theatrical Release,Feature,HK,59,25588700,3478,16392200,2191,Romance,12+,Art film
5350,Bending the Arc: The Power to Change the World,"Keef Davidson, Pedro Cos",2017-11-09,Theatrical Release,Feature,US,45,24142600,3472,10403700,1377,Documentary,All Ages,Art film
5352,Antichrist,Lars von Trier,2011-04-14,Theatrical Release,Feature,DK,17,26739000,3471,18387500,2325,Mystery,18+,Art film
5353,Haunted Park,Hiroshi Takahashi,2020-05-06,Theatrical Release,Feature,JP,143,30047360,3467,7408400,823,Horror,15+,Art film
5354,The boy from ipanema,Kim Ki-hoon,2010-11-04,Theatrical Release,Feature,KR,13,25432810,3465,10204000,1348,Romance,12+,Art film
5355,Homefront - Protect Your Family,Gary Fleder,2014-06-18,Theatrical Release,Feature,US,55,23849000,3464,3612000,615,Action,15+,Commercial
5356,Getaway: Private Island,Han Sang-hee,2013-08-29,Theatrical Release,Feature,KR,23,18135500,3460,10106000,1866,Romance,18+,Commercial
5357,Wind River: Director's Cut,Taylor Sheridan,2017-09-21,Theatrical Release,Feature,US,9,26691300,3458,14555300,1931,Thriller,18+,Art film
5358,your girlfriend,Lee Jang-hee,2019-12-04,Theatrical Release,Feature,KR,74,21916400,3456,9293940,1168,Comedy,12+,Art film
5359,"Lucky, Apartment",Kang Yu-Ga-Ram,2024-10-30,Theatrical Release,Feature,KR,40,32030050,3455,24273850,2447,Drama,15+,Art film
5360,Belle and Sebastian's Adventure Continues,Christian Dugay,2017-08-10,Theatrical Release,Feature,FR,38,26194300,3450,12421000,1554,Drama,All Ages,Art film
5361,The Last Z,Craig Zobel,2016-12-28,Theatrical Release,Feature,IS,23,19439500,3449,2560000,309,Drama,12+,Art film
5362,Kazanzakis,Unknown,2020-01-30,Theatrical Release,Feature,Other,21,26839100,3447,20470100,2540,Drama,12+,Art film
5363,My song is far away,Hyun Jin Sik,2019-10-03,Theatrical Release,Feature,KR,27,28137380,3442,11261780,1328,Documentary,All Ages,Art film
5364,Fullmetal Alchemist: The Sacred Star of Milos,Kazuya Murata,2012-01-26,Theatrical Release,Feature,JP,37,24368000,3441,11955500,1583,Animation,12+,Commercial
5365,Painting the Garden: From Monet to Matisse,David Bickerstaff,2017-10-26,Theatrical Release,Feature,GB,25,36375500,3441,21972500,2158,Documentary,All Ages,Commercial
5366,Remember,Anna Justice,2012-12-13,Theatrical Release,Feature,DE,12,23873000,3438,11199500,1525,Drama,15+,Art film
5367,Inheritance,Unknown,2020-06-25,Theatrical Release,Feature,US,58,22257000,3434,15766000,2666,Thriller,15+,Commercial
5368,Vegetarian,Woo Sung Lim,2010-02-18,Theatrical Release,Feature,KR,19,25547105,3434,15983500,2078,Drama,18+,Art film
5369,Children of Heaven,Park Heung-sik,2012-05-24,Theatrical Release,Feature,KR,7,19220000,3432,12301500,2248,Drama,12+,Art film
5370,"Muhyun, a tale of two cities: final cut",Jeon In-hwan,2017-08-30,Theatrical Release,Feature,KR,103,24499000,3431,10997500,1451,Documentary,15+,Art film
5371,Nina Nana,Move is,2019-10-30,Theatrical Release,Feature,KR,51,27337980,3427,18748300,2195,Drama,12+,Art film
5372,Monmonmon Monster,Old wave,2018-07-12,Theatrical Release,Feature,TW,101,27639200,3426,13629600,1664,Horror,15+,Art film
5373,"Eighteen, the age of becoming an adult",Young Joo,2023-01-25,Theatrical Release,Feature,KR,34,31388297,3420,12561797,1467,Drama,12+,Art film
5374,Merry Christmas Mr. Mo,Rental type,2017-12-14,Theatrical Release,Feature,KR,31,23963800,3418,16721500,2172,Comedy,12+,Art film
5375,Michelangelo: Love and Death,David Bickerstaff,2018-05-31,Theatrical Release,Feature,GB,19,33952000,3411,22708000,2394,Documentary,All Ages,Commercial
5376,Public Enemy Number One,Jean-François Richet,2011-08-25,Theatrical Release,Feature,FR,35,26932000,3410,13216500,1614,Action,18+,Commercial
5377,Vampire girl walking at night,Anna Lily Amirpur,2015-06-25,Theatrical Release,Feature,US,23,26003679,3407,19446500,2464,Horror,15+,Art film
5378,Romance Joe,Lee Kwang-guk,2012-03-08,Theatrical Release,Feature,KR,19,25937600,3402,19854100,2492,Drama,15+,Art film
5379,Donkey EO,Jerzy Skolimowski,2023-10-03,Theatrical Release,Feature,PL,35,31472752,3401,19713863,1952,Drama,15+,Art film
5380,Elstar 2: Dreamy Stage,Unknown,2024-11-30,Theatrical Release,Feature,KR,15,50984500,3399,30044500,2003,Animation,All Ages,Commercial
5381,Matthew Bourne's Swan Lake,Unknown,2019-10-31,Theatrical Release,Feature,GB,15,55609000,3388,38672000,2361,Performance,12+,Commercial
5382,Park Kang-ah-reum gets married,Park Kang-ah-reum,2021-08-19,Theatrical Release,Feature,KR,32,24748710,3386,19450210,2588,Documentary,All Ages,Art film
5383,Even if spring comes,"Jang Jun-yeop, Jin Cheong-ha, Jeon Shin-hwan",2018-09-13,Theatrical Release,Feature,KR,31,24339700,3379,16565300,2202,Drama,12+,Art film
5384,your eyes tell,Miki Takahiro,2021-03-11,Theatrical Release,Feature,JP,103,23063760,3375,13877020,2353,Romance,15+,Art film
5385,Tokarev,Paco Cabezas,2014-10-23,Theatrical Release,Feature,US,20,17706000,3375,8820000,1796,Action,18+,Commercial
5386,Her hobbies,Ha Myung-mi,2023-08-30,Theatrical Release,Feature,KR,52,29809412,3372,16957856,1879,Mystery,15+,Art film
5387,Little Wizard Remy: In Search of the Apprentice Wizard,"Junichi Sato, Haruka Kamatani",2021-05-19,Theatrical Release,Feature,JP,65,37980500,3372,15271500,1323,Animation,12+,Commercial
5388,Life like an animation,Roger Ross Williams,2017-09-27,Theatrical Release,Feature,US,49,24952800,3372,16072000,2110,Documentary,All Ages,Art film
5389,The History of Jealousy,Jeong In-bong,2019-03-14,Theatrical Release,Feature,KR,83,30276830,3372,13969650,1371,Romance,15+,Art film
5390,Yayoi Kusama: Infinite World,Unknown,2021-05-19,Theatrical Release,Feature,US,38,27389510,3369,19119010,2188,Documentary,All Ages,Art film
5391,"Paris, the days of love",Michael Cohen,2011-04-07,Theatrical Release,Feature,FR,12,25860000,3369,19006000,2383,Romance,18+,Art film
5392,Dawder,Ku Hye-sun,2014-11-06,Theatrical Release,Feature,KR,41,23895800,3365,11423900,1480,Family,15+,Art film
5393,La Melody,Rashid Hami,2018-06-14,Theatrical Release,Feature,FR,39,25241500,3365,14145400,1750,Comedy,All Ages,Art film
5394,Two Lovers and Bear,Kim Nguyen,2017-03-30,Theatrical Release,Feature,CA,73,26655200,3364,17156500,2069,Drama,18+,Art film
5395,Director's Cut: Kim Il Sung's Children,Kim Deok-young,2024-06-25,Theatrical Release,Feature,KR,60,27205117,3359,16418439,2107,Documentary,12+,Art film
5396,Second Chance,Susan Bier,2015-06-11,Theatrical Release,Feature,DK,29,26219800,3358,20340300,2466,Drama,18+,Art film
5397,The Man's Way of Love,Aditya Chopra,2013-05-09,Theatrical Release,Feature,IN,28,25414500,3355,16157000,1987,Romance,12+,Art film
5398,The Three Musketeers 2014,Sergey Zinov,2014-08-07,Theatrical Release,Feature,RU,21,9719000,3354,4252000,2036,Adventure,15+,Art film
5399,Excellent Adventure 3,Dean Parisot,2020-11-19,Theatrical Release,Feature,US,54,17832980,3351,7064940,1275,Adventure,12+,Commercial
5400,Mischange,Jeongchoshin,2013-09-05,Theatrical Release,Feature,KR,41,23494500,3344,6600000,888,Comedy,18+,Commercial
5401,The Pension,"Ryu Jang-ha, Yang Jong-hyeon, Yoon Chang-mo, Jeong Heo-deok-jae",2018-06-21,Theatrical Release,Feature,KR,90,30492000,3340,18339500,1879,Drama,15+,Art film
5402,Viva,Paddy Breathnatch,2016-10-13,Theatrical Release,Feature,IE,71,25521500,3338,15863500,1937,Drama,18+,Art film
5403,Happy Dancing,Richard Loncraine,2018-11-15,Theatrical Release,Feature,GB,25,23904200,3338,15231200,2073,Drama,12+,Art film
5404,Beyond Live the Movie - Taemin: N.G.D.A,Unknown,2023-11-29,Theatrical Release,Feature,KR,30,55026000,3335,36299000,2200,Performance,All Ages,Commercial
5405,In search of Fellini,Taron Rexton,2018-07-12,Theatrical Release,Feature,US,18,24490900,3335,15999200,1953,Adventure,15+,Art film
5406,Lila Lila,Alan Gusponer,2011-09-22,Theatrical Release,Feature,DE,14,26583400,3331,22281400,2725,Comedy,12+,Art film
5407,Hope,Maria Sodal,2020-12-17,Theatrical Release,Feature,Other,171,27884010,3330,11031270,1275,Drama,12+,Art film
5408,It's hot during the day and cold at night.,Park Song-yeol,2022-10-27,Theatrical Release,Feature,KR,51,27001995,3327,17060896,2048,Drama,12+,Art film
5409,flight,Jo Seong-bin,2020-03-19,Theatrical Release,Feature,KR,128,28441440,3326,16686200,1881,Drama,15+,Art film
5410,Listen to your heart,Matt Thompson,2011-05-04,Theatrical Release,Feature,US,8,25534000,3325,13966000,1681,Drama,12+,Art film
5411,New Order,Michelle Franco,2021-11-11,Theatrical Release,Feature,Other,31,30334470,3324,18760770,1923,Thriller,18+,Art film
5412,shock wave 2,Gu Ye-do,2021-05-20,Theatrical Release,Feature,CN,61,17952300,3321,9681900,1793,Action,15+,Commercial
5413,Thermae Romae,Hideki Takeuchi,2013-07-18,Theatrical Release,Feature,JP,7,23674500,3319,20595000,2888,Comedy,15+,Art film
5414,Shirai,Unknown,2020-07-15,Theatrical Release,Feature,JP,70,28571620,3305,4506280,498,Horror,15+,Art film
5415,Peace by Peace,Morgan Neville,2025-01-08,Theatrical Release,Feature,US,67,28467200,3301,12308400,1417,Animation,All Ages,Commercial
5416,Jeongdoli,Kim Dae-hyun,2025-02-12,Theatrical Release,Feature,KR,15,29377900,3300,13724900,1503,Documentary,12+,Art film
5417,My Splendid Revenge,Lim Seong-un,2023-03-29,Theatrical Release,Feature,KR,59,28584999,3289,12819099,1391,Drama,15+,Art film
5418,"1999, Interview",Kim Tae-gon,2013-02-21,Theatrical Release,Feature,KR,20,23266300,3289,15773300,2179,Drama,15+,Art film
5419,starry night,Suyu Lin,2012-04-05,Theatrical Release,Feature,TW,20,24180300,3288,16217300,2148,Drama,All Ages,Art film
5420,Michelangelo,Unknown,2021-09-29,Theatrical Release,Feature,IT,20,20290320,3285,12439380,2021,Drama,12+,Art film
5421,Horror Experience Group Gonjiam Edition,Jeong Beom-sik,2019-07-19,Theatrical Release,Feature,KR,10,17285500,3282,5342000,1006,Horror,15+,Commercial
5422,Noel's Gift,Alexander Koper,2015-02-05,Theatrical Release,Feature,FR,58,23642900,3282,7985000,1074,Comedy,All Ages,Art film
5423,Saban,Sophon Sakdapishit,2021-11-11,Theatrical Release,Feature,TH,48,29364680,3279,12840440,1434,Horror,15+,Art film
5424,The Assassins,Unknown,2021-08-12,Theatrical Release,Feature,US,39,21312800,3277,13965200,2440,Documentary,15+,Art film
5425,The Box,Richard Kelly,2012-04-19,Theatrical Release,Feature,US,15,23544000,3276,11651000,1546,Thriller,15+,Art film
5426,Tasty Guys,Pure Hai Feng,2020-07-16,Theatrical Release,Feature,CN,152,26045040,3274,3849900,462,Animation,All Ages,Art film
5427,Manet's Woman with Violets: Berthe Morisot,Caroline Champettier,2014-07-03,Theatrical Release,Feature,FR,5,23303500,3273,14444000,1820,Drama,12+,Art film
5428,Bacurau,Unknown,2021-09-02,Theatrical Release,Feature,FR,25,25488660,3271,18909660,2310,Mystery,18+,Art film
5429,"That guy, a good nurse",Tobias Lindholm,2022-10-19,Theatrical Release,Feature,US,61,27862000,3261,14541200,1673,Thriller,15+,Commercial
5430,Goryeo Arirang: Diva of the Heavenly Mountains,Kim So-young,2017-05-25,Theatrical Release,Feature,KR,21,22027000,3260,12368700,1654,Documentary,All Ages,Art film
5431,Paco and the Magical Fairy Tale Book,Tetsuya Nakashima,2010-07-22,Theatrical Release,Feature,JP,13,23530641,3260,14853700,2061,Family,All Ages,Art film
5433,Carmen,Casper Holten,2018-07-01,Theatrical Release,Feature,DE,11,78836500,3259,48517500,1985,Performance,15+,Commercial
5434,Scattered night,"Lee Ji-hyung, Kim Sol",2021-06-24,Theatrical Release,Feature,KR,49,27613840,3258,14751840,1628,Drama,All Ages,Art film
5435,Trans,Donae-ri,2022-11-17,Theatrical Release,Feature,KR,29,11680099,3254,4647399,577,Sci-Fi,15+,Art film
5436,A day in the life of novelist Gubo,Lim Hyeon-muk,2021-12-09,Theatrical Release,Feature,KR,36,21836470,3252,13993880,2046,Drama,12+,Art film
5437,Mother's Kingdom,Idealism,2024-07-24,Theatrical Release,Feature,KR,27,28687900,3252,24380100,2619,Crime,15+,Art film
5438,Che Guevara: Part 2 Guerilla,Steven Soderbergh,2019-06-13,Theatrical Release,Feature,DE,16,23799160,3252,14245160,1733,Drama,15+,Art film
5439,"The Great Contract: Paju, Books, and Cities","Kim Jong-shin, Jeong Da-un",2022-04-21,Theatrical Release,Feature,KR,30,27535700,3247,19360000,2156,Documentary,All Ages,Art film
5440,Mori's Garden,Shuichi Okita,2020-03-26,Theatrical Release,Feature,JP,66,27215720,3245,16980280,1918,Drama,All Ages,Art film
5441,Samrye,Lee Hyun-jung,2016-06-23,Theatrical Release,Feature,KR,26,24086600,3243,17267300,2182,Drama,15+,Art film
5442,Silver Apricot,Jang Man-min,2025-01-15,Theatrical Release,Feature,KR,25,26435100,3242,15290000,1725,Drama,12+,Art film
5444,Our Midnight,The provisional government,2021-11-11,Theatrical Release,Feature,KR,50,24159470,3235,12909470,1635,Drama,12+,Art film
5445,Kill switch,Unknown,2020-07-01,Theatrical Release,Feature,US,51,16260900,3230,6360900,1250,Sci-Fi,15+,Commercial
5446,Miracle Travelogue,Heo Cheol,2015-01-15,Theatrical Release,Feature,KR,12,20562500,3228,13008500,2117,Documentary,All Ages,Art film
5447,Savage Man,Unknown,2023-01-26,Theatrical Release,Feature,US,50,25868492,3227,10366498,1289,Action,18+,Commercial
5448,Milky Way,The most correct,2024-04-10,Theatrical Release,Feature,KR,49,30206600,3225,15206600,1548,Drama,12+,Art film
5449,Happy hour,Hamaguchi Ryuusuke,2021-12-09,Theatrical Release,Feature,JP,15,53451800,3221,39337900,2261,Drama,15+,Art film
5450,"Tubepet Co., Ltd.","Song Sang-min, Kwak Ji-seong",2022-12-08,Theatrical Release,Feature,KR,55,25999499,3216,11875699,1460,Drama,All Ages,Commercial
5451,First time,Front and rear seats,2022-11-03,Theatrical Release,Feature,KR,41,25470796,3215,18534996,2505,Documentary,12+,Art film
5452,Swag,Im Seong-gwan,2020-12-10,Theatrical Release,Feature,KR,118,30300660,3214,18971540,1998,Drama,15+,Art film
5453,Cube,Unknown,2022-08-24,Theatrical Release,Feature,JP,51,30326998,3210,19459100,2061,Thriller,15+,Art film
5454,The Promised Neverland,Yuichiro Hirakawa,2022-04-07,Theatrical Release,Feature,JP,59,23051300,3206,11131500,1673,Fantasy,12+,Art film
5455,Wangsimni Kim Jong-bun,Kim Jin-yeol,2021-11-11,Theatrical Release,Feature,KR,32,26482600,3203,19988500,2196,Documentary,12+,Art film
